Date,AQI
2018-09-20 00:00:00,164
2018-09-21 00:00:00,143
2018-09-22 00:00:00,54
2018-09-23 00:00:00,62
2018-09-24 00:00:00,52
2018-09-25 00:00:00,55
2018-09-26 00:00:00,88
2018-09-27 00:00:00,151
2018-09-28 00:00:00,197
2018-09-29 00:00:00,219
2018-09-30 00:00:00,158
2018-10-01 00:00:00,148
2018-10-02 00:00:00,202
2018-10-03 00:00:00,143
2018-10-04 00:00:00,201
2018-10-05 00:00:00,256
2018-10-06 00:00:00,209
2018-10-07 00:00:00,181
2018-10-08 00:00:00,246
2018-10-09 00:00:00,251
2018-10-10 00:00:00,241
2018-10-11 00:00:00,210
2018-10-12 00:00:00,154
2018-10-13 00:00:00,262
2018-10-14 00:00:00,204
2018-10-15 00:00:00,246
2018-10-16 00:00:00,291
2018-10-17 00:00:00,313
2018-10-18 00:00:00,297
2018-10-19 00:00:00,276
2018-10-20 00:00:00,326
2018-10-21 00:00:00,292
2018-10-22 00:00:00,272
2018-10-23 00:00:00,254
2018-10-24 00:00:00,328
2018-10-25 00:00:00,331
2018-10-26 00:00:00,361
2018-10-27 00:00:00,350
2018-10-28 00:00:00,366
2018-10-29 00:00:00,367
2018-10-30 00:00:00,401
2018-10-31 00:00:00,358
2018-11-01 00:00:00,393
2018-11-02 00:00:00,370
2018-11-03 00:00:00,340
2018-11-04 00:00:00,171
2018-11-05 00:00:00,426
2018-11-06 00:00:00,338
2018-11-07 00:00:00,281
2018-11-08 00:00:00,390
2018-11-09 00:00:00,423
2018-11-10 00:00:00,401
2018-11-11 00:00:00,405
2018-11-12 00:00:00,399
2018-11-13 00:00:00,409
2018-11-14 00:00:00,312
2018-11-15 00:00:00,217
2018-11-16 00:00:00,285
2018-11-17 00:00:00,267
2018-11-18 00:00:00,311
2018-11-19 00:00:00,330
2018-11-20 00:00:00,374
2018-11-21 00:00:00,374
2018-11-22 00:00:00,273
2018-11-23 00:00:00,337
2018-11-24 00:00:00,249
2018-11-25 00:00:00,262
2018-11-26 00:00:00,336
2018-11-27 00:00:00,352
2018-11-28 00:00:00,316
2018-11-29 00:00:00,358
2018-11-30 00:00:00,352
2018-12-01 00:00:00,306
2018-12-02 00:00:00,297
2018-12-03 00:00:00,328
2018-12-04 00:00:00,356
2018-12-05 00:00:00,331
2018-12-06 00:00:00,349
2018-12-07 00:00:00,348
2018-12-08 00:00:00,347
2018-12-09 00:00:00,374
2018-12-10 00:00:00,403
2018-12-11 00:00:00,413
2018-12-12 00:00:00,392
2018-12-13 00:00:00,194
2018-12-14 00:00:00,249
2018-12-15 00:00:00,261
2018-12-16 00:00:00,282
2018-12-17 00:00:00,337
2018-12-18 00:00:00,353
2018-12-19 00:00:00,353
2018-12-20 00:00:00,394
2018-12-21 00:00:00,386
2018-12-22 00:00:00,421
2018-12-23 00:00:00,450
2018-12-24 00:00:00,448
2018-12-25 00:00:00,409
2018-12-26 00:00:00,384
2018-12-27 00:00:00,399
2018-12-28 00:00:00,392
2018-12-29 00:00:00,385
2018-12-30 00:00:00,415
2018-12-31 00:00:00,420
2019-01-01 00:00:00,393
2019-01-02 00:00:00,430
2019-01-03 00:00:00,444
2019-01-04 00:00:00,386
2019-01-05 00:00:00,407
2019-01-06 00:00:00,336
2019-01-07 00:00:00,333
2019-01-08 00:00:00,320
2019-01-09 00:00:00,288
2019-01-10 00:00:00,292
2019-01-11 00:00:00,371
2019-01-12 00:00:00,423
2019-01-13 00:00:00,414
2019-01-14 00:00:00,247
2019-01-15 00:00:00,237
2019-01-16 00:00:00,371
2019-01-17 00:00:00,440
